rows,columns,rewards,score,garden
5,4,"[0, 0, 0, 1, 1, 1, 1, 1, 1]",10,123275
5,4,"[0, 0, 0, 1, 1, 1, 1, 1, 1]",10,176340
5,4,"[0, 0, 0, 1, 1, 1, 1, 1, 1]",10,176341
5,4,"[0, 0, 0, 1, 1, 1, 1, 1, 1]",10,176345
5,4,"[0, 0, 0, 1, 1, 1, 1, 1, 1]",10,178205
5,4,"[0, 0, 0, 1, 1, 1, 1, 1, 1]",10,315570
5,4,"[0, 0, 0, 1, 1, 1, 1, 1, 1]",10,315577
5,4,"[0, 0, 0, 1, 1, 1, 1, 1, 1]",10,315578
5,4,"[0, 0, 0, 1, 1, 1, 1, 1, 1]",10,315787
5,4,"[0, 0, 0, 1, 1, 1, 1, 1, 1]",10,334906
5,4,"[0, 0, 0, 1, 1, 1, 1, 1, 1]",10,377677
5,4,"[0, 0, 0, 1, 1, 1, 1, 1, 1]",10,377738
5,4,"[0, 0, 0, 1, 1, 1, 1, 1, 1]",10,377739
5,4,"[0, 0, 0, 1, 1, 1, 1, 1, 1]",10,377797
5,4,"[0, 0, 0, 1, 1, 1, 1, 1, 1]",10,381106
5,4,"[0, 0, 0, 1, 1, 1, 1, 1, 1]",10,381113
5,4,"[0, 0, 0, 1, 1, 1, 1, 1, 1]",10,381114
5,4,"[0, 0, 0, 1, 1, 1, 1, 1, 1]",10,381323
5,4,"[0, 0, 0, 1, 1, 1, 1, 1, 1]",10,385419
5,4,"[0, 0, 0, 1, 1, 1, 1, 1, 1]",10,555037
5,4,"[0, 0, 0, 1, 1, 1, 1, 1, 1]",10,615755
5,4,"[0, 0, 0, 1, 1, 1, 1, 1, 1]",10,615785
5,4,"[0, 0, 0, 1, 1, 1, 1, 1, 1]",10,615819
5,4,"[0, 0, 0, 1, 1, 1, 1, 1, 1]",10,616041
5,4,"[0, 0, 0, 1, 1, 1, 1, 1, 1]",10,616719
5,4,"[0, 0, 0, 1, 1, 1, 1, 1, 1]",10,616733
5,4,"[0, 0, 0, 1, 1, 1, 1, 1, 1]",10,616749
5,4,"[0, 0, 0, 1, 1, 1, 1, 1, 1]",10,616779
5,4,"[0, 0, 0, 1, 1, 1, 1, 1, 1]",10,616809
5,4,"[0, 0, 0, 1, 1, 1, 1, 1, 1]",10,616843
5,4,"[0, 0, 0, 1, 1, 1, 1, 1, 1]",10,616989
5,4,"[0, 0, 0, 1, 1, 1, 1, 1, 1]",10,617005
5,4,"[0, 0, 0, 1, 1, 1, 1, 1, 1]",10,617065
5,4,"[0, 0, 0, 1, 1, 1, 1, 1, 1]",10,620573
5,4,"[0, 0, 0, 1, 1, 1, 1, 1, 1]",10,635092
5,4,"[0, 0, 0, 1, 1, 1, 1, 1, 1]",10,635093
5,4,"[0, 0, 0, 1, 1, 1, 1, 1, 1]",10,635097
5,4,"[0, 0, 0, 1, 1, 1, 1, 1, 1]",10,636957
5,4,"[0, 0, 0, 1, 1, 1, 1, 1, 1]",10,643250
5,4,"[0, 0, 0, 1, 1, 1, 1, 1, 1]",10,643257
5,4,"[0, 0, 0, 1, 1, 1, 1, 1, 1]",10,643258
5,4,"[0, 0, 0, 1, 1, 1, 1, 1, 1]",10,643467
5,4,"[0, 0, 0, 1, 1, 1, 1, 1, 1]",10,647563
5,4,"[0, 0, 0, 1, 1, 1, 1, 1, 1]",10,670741
5,4,"[0, 0, 0, 1, 1, 1, 1, 1, 1]",10,670749
5,4,"[0, 0, 0, 1, 1, 1, 1, 1, 1]",10,670763
5,4,"[0, 0, 0, 1, 1, 1, 1, 1, 1]",10,670778
5,4,"[0, 0, 0, 1, 1, 1, 1, 1, 1]",10,686109
5,4,"[0, 0, 0, 1, 1, 1, 1, 1, 1]",10,689093
5,4,"[0, 0, 0, 1, 1, 1, 1, 1, 1]",10,700628
5,4,"[0, 0, 0, 1, 1, 1, 1, 1, 1]",10,700629
5,4,"[0, 0, 0, 1, 1, 1, 1, 1, 1]",10,700633
5,4,"[0, 0, 0, 1, 1, 1, 1, 1, 1]",10,702493
5,4,"[0, 0, 0, 1, 1, 1, 1, 1, 1]",10,732218
5,4,"[0, 0, 0, 1, 1, 1, 1, 1, 1]",10,738635
5,4,"[0, 0, 0, 1, 1, 1, 1, 1, 1]",10,738665
5,4,"[0, 0, 0, 1, 1, 1, 1, 1, 1]",10,738699
5,4,"[0, 0, 0, 1, 1, 1, 1, 1, 1]",10,739629
5,4,"[0, 0, 0, 1, 1, 1, 1, 1, 1]",10,739659
5,4,"[0, 0, 0, 1, 1, 1, 1, 1, 1]",10,739689
5,4,"[0, 0, 0, 1, 1, 1, 1, 1, 1]",10,754132
5,4,"[0, 0, 0, 1, 1, 1, 1, 1, 1]",10,754133
5,4,"[0, 0, 0, 1, 1, 1, 1, 1, 1]",10,754137
5,4,"[0, 0, 0, 1, 1, 1, 1, 1, 1]",10,754145
5,4,"[0, 0, 0, 1, 1, 1, 1, 1, 1]",10,754149
5,4,"[0, 0, 0, 1, 1, 1, 1, 1, 1]",10,754153
5,4,"[0, 0, 0, 1, 1, 1, 1, 1, 1]",10,754629
5,4,"[0, 0, 0, 1, 1, 1, 1, 1, 1]",10,755019
5,4,"[0, 0, 0, 1, 1, 1, 1, 1, 1]",10,755049
5,4,"[0, 0, 0, 1, 1, 1, 1, 1, 1]",10,756073
5,4,"[0, 0, 0, 1, 1, 1, 1, 1, 1]",10,858232
5,4,"[0, 0, 0, 1, 1, 1, 1, 1, 1]",10,858233
5,4,"[0, 0, 0, 1, 1, 1, 1, 1, 1]",10,858234
5,4,"[0, 0, 0, 1, 1, 1, 1, 1, 1]",10,858290
5,4,"[0, 0, 0, 1, 1, 1, 1, 1, 1]",10,858297
5,4,"[0, 0, 0, 1, 1, 1, 1, 1, 1]",10,858298
5,4,"[0, 0, 0, 1, 1, 1, 1, 1, 1]",10,858473
5,4,"[0, 0, 0, 1, 1, 1, 1, 1, 1]",10,858669
5,4,"[0, 0, 0, 1, 1, 1, 1, 1, 1]",10,858729
5,4,"[0, 0, 0, 1, 1, 1, 1, 1, 1]",10,859194
5,4,"[0, 0, 0, 1, 1, 1, 1, 1, 1]",10,862509
5,4,"[0, 0, 0, 1, 1, 1, 1, 1, 1]",10,862539
5,4,"[0, 0, 0, 1, 1, 1, 1, 1, 1]",10,862569
5,4,"[0, 0, 0, 1, 1, 1, 1, 1, 1]",10,862749
5,4,"[0, 0, 0, 1, 1, 1, 1, 1, 1]",10,862765
5,4,"[0, 0, 0, 1, 1, 1, 1, 1, 1]",10,862825
5,4,"[0, 0, 0, 1, 1, 1, 1, 1, 1]",10,869317
5,4,"[0, 0, 0, 1, 1, 1, 1, 1, 1]",10,985449
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,525727071
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,525727103
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,525729119
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,525729151
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,525858143
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,525858175
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,525859518
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,525859519
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,525859582
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,525859583
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,525859711
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,525860191
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,525860223
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,534115679
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,534115711
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,534117727
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,534117759
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,534246751
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,534246783
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,534248126
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,534248127
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,534248190
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,534248191
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,534248319
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,534248799
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,534248831
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1051454142
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1051454143
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1051454206
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1051454207
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1051456863
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1051456895
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1051458238
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1051458239
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1051458302
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1051458303
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1051458431
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1051458911
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1051458943
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1051716286
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1051716287
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1051716350
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1051716351
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1051719007
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1051719039
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1051720382
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1051720383
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1051720446
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1051720447
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1051720575
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1051721055
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1051721087
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1062597983
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1062598015
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1062600031
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1062600063
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1062729055
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1062729087
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1062730430
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1062730431
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1062730494
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1062730495
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1062730623
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1062731103
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1062731135
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1068231358
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1068231359
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1068231422
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1068231423
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1068234079
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1068234111
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1068235454
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1068235455
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1068235518
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1068235519
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1068235647
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1068236127
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1068236159
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1068493502
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1068493503
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1068493566
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1068493567
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1068496223
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1068496255
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1068497598
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1068497599
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1068497662
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1068497663
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1068497791
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1068498271
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1068498303
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1069020511
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1069020543
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1069021886
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1069021887
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1069021950
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1069021951
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1069022079
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1069022559
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1069022591
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1070986591
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1070986623
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1070988639
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1070988671
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1071117663
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1071117695
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1071119038
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1071119039
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1071119102
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1071119103
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1071119231
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1071119711
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1071119743
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1599468895
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1599468927
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1599470943
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1599470975
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1599599967
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1599599999
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1599601342
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1599601343
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1599601406
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1599601407
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1599601535
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1599602015
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1599602047
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1607857503
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1607857535
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1607859551
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1607859583
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1607988575
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1607988607
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1607989950
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1607989951
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1607990014
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1607990015
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1607990143
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1607990623
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1607990655
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2125195966
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2125195967
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2125196030
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2125196031
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2125198687
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2125198719
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2125200062
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2125200063
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2125200126
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2125200127
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2125200255
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2125200735
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2125200767
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2125458110
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2125458111
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2125458174
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2125458175
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2125460831
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2125460863
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2125462206
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2125462207
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2125462270
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2125462271
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2125462399
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2125462879
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2125462911
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2136339807
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2136339839
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2136341855
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2136341887
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2136470879
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2136470911
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2136472254
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2136472255
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2136472318
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2136472319
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2136472447
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2136472927
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2136472959
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2141973182
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2141973183
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2141973246
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2141973247
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2141975903
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2141975935
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2141977278
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2141977279
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2141977342
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2141977343
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2141977471
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2141977951
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2141977983
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2142235326
